because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	I have to ask	1
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	By far the most egregious violation of this nature is ignoring the Auction rule (	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	Another common one I grew up with was the "Free Parking" rule addition, where landing on Free Parking confers some kind of monetary reward, which introduces more money into the game and makes it harder to go bankrupt, dragging out the game.	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	Assuming that you're playing with auctions (and preferably without that Free Parking house rule), the key to the game is negotiation.	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	The game only becomes a drawn-out slugfest if players can't get monopolies	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	which only happens if players don't negotiate	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	This is the soul of the game	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	ignoring it is the reason many people develop a distaste for the game	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	If players A, B, C, and D are playing, and A is obviously ahead after a few go-arounds, should A just win?	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	Of course not!	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	B, C, and D should be conspiring like hell to take A down.	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	B can "not notice" when C and D land on his properties, making A the only one to pay rent.	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	C and D can agree to help each other complete monopolies and make trades of that nature.	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	Once some players have monopolies, the other players have to either trade to make their own monopolies or get bled out quickly.	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	Once monopolies (and the corresponding houses and hotels) come into play, tiny rents become enormous and the game quickly comes to an end.	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	Monopoly is drawn out because people don't play by the rules, or the miss the main point of the game	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	Forming monopolies is by far the quickest way to win	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	the easiest way to do so is through negotiating with other players, a point that many Monopoly players fail to notice	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	A properly played game of Monopoly may come down to luck in the end	0
because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	but it's luck that is heavily influenced by the mid-game, which is decided by the players' diplomatic skill	0
By far the most egregious violation of this nature is ignoring the Auction rule (	I have to ask	0
By far the most egregious violation of this nature is ignoring the Auction rule (	because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	1
By far the most egregious violation of this nature is ignoring the Auction rule (	Another common one I grew up with was the "Free Parking" rule addition, where landing on Free Parking confers some kind of monetary reward, which introduces more money into the game and makes it harder to go bankrupt, dragging out the game.	0
By far the most egregious violation of this nature is ignoring the Auction rule (	Assuming that you're playing with auctions (and preferably without that Free Parking house rule), the key to the game is negotiation.	0
By far the most egregious violation of this nature is ignoring the Auction rule (	The game only becomes a drawn-out slugfest if players can't get monopolies	0
By far the most egregious violation of this nature is ignoring the Auction rule (	which only happens if players don't negotiate	0
By far the most egregious violation of this nature is ignoring the Auction rule (	This is the soul of the game	0
By far the most egregious violation of this nature is ignoring the Auction rule (	ignoring it is the reason many people develop a distaste for the game	0
By far the most egregious violation of this nature is ignoring the Auction rule (	If players A, B, C, and D are playing, and A is obviously ahead after a few go-arounds, should A just win?	0
By far the most egregious violation of this nature is ignoring the Auction rule (	Of course not!	0
By far the most egregious violation of this nature is ignoring the Auction rule (	B, C, and D should be conspiring like hell to take A down.	0
By far the most egregious violation of this nature is ignoring the Auction rule (	B can "not notice" when C and D land on his properties, making A the only one to pay rent.	0
By far the most egregious violation of this nature is ignoring the Auction rule (	C and D can agree to help each other complete monopolies and make trades of that nature.	0
By far the most egregious violation of this nature is ignoring the Auction rule (	Once some players have monopolies, the other players have to either trade to make their own monopolies or get bled out quickly.	0
By far the most egregious violation of this nature is ignoring the Auction rule (	Once monopolies (and the corresponding houses and hotels) come into play, tiny rents become enormous and the game quickly comes to an end.	0
By far the most egregious violation of this nature is ignoring the Auction rule (	Monopoly is drawn out because people don't play by the rules, or the miss the main point of the game	0
By far the most egregious violation of this nature is ignoring the Auction rule (	Forming monopolies is by far the quickest way to win	0
By far the most egregious violation of this nature is ignoring the Auction rule (	the easiest way to do so is through negotiating with other players, a point that many Monopoly players fail to notice	0
By far the most egregious violation of this nature is ignoring the Auction rule (	A properly played game of Monopoly may come down to luck in the end	0
By far the most egregious violation of this nature is ignoring the Auction rule (	but it's luck that is heavily influenced by the mid-game, which is decided by the players' diplomatic skill	0
Another common one I grew up with was the "Free Parking" rule addition, where landing on Free Parking confers some kind of monetary reward, which introduces more money into the game and makes it harder to go bankrupt, dragging out the game.	I have to ask	0
Another common one I grew up with was the "Free Parking" rule addition, where landing on Free Parking confers some kind of monetary reward, which introduces more money into the game and makes it harder to go bankrupt, dragging out the game.	because it's very, very common for people to unwitting ignore or add rules and cause the game to run longer	1
Another common one I grew up with was the "Free Parking" rule addition, where landing on Free Parking confers some kind of monetary reward, which introduces more money into the game and makes it harder to go bankrupt, dragging out the game.	By far the most egregious violation of this nature is ignoring the Auction rule (	0
Another common one I grew up with was the "Free Parking" rule addition, where landing on Free Parking confers some kind of monetary reward, which introduces more money into the game and makes it harder to go bankrupt, dragging out the game.	Assuming that you're playing with auctions (and preferably without that Free Parking house rule), the key to the game is negotiation.	0
Another common one I grew up with was the "Free Parking" rule addition, where landing on Free Parking confers some kind of monetary reward, which introduces more money into the game and makes it harder to go bankrupt, dragging out the game.	The game only becomes a drawn-out slugfest if players can't get monopolies	0
Another common one I grew up with was the "Free Parking" rule addition, where landing on Free Parking confers some kind of monetary reward, which introduces more money into the game and makes it harder to go bankrupt, dragging out the game.	which only happens if players don't negotiate	0
Another common one I grew up with was the "Free Parking" rule addition, where landing on Free Parking confers some kind of monetary reward, which introduces more money into the game and makes it harder to go bankrupt, dragging out the game.	This is the soul of the game	0
Another common one I grew up with was the "Free Parking" rule addition, where landing on Free Parking confers some kind of monetary reward, which introduces more money into the game and makes it harder to go bankrupt, dragging out the game.	ignoring it is the reason many people develop a distaste for the game	0
Another common one I grew up with was the "Free Parking" rule addition, where landing on Free Parking confers some kind of monetary reward, which introduces more money into the game and makes it harder to go bankrupt, dragging out the game.	If players A, B, C, and D are playing, and A is obviously ahead after a few go-arounds, should A just win?	0
Another common one I grew up with was the "Free Parking" rule addition, where landing on Free Parking confers some kind of monetary reward, which introduces more money into the game and makes it harder to go bankrupt, dragging out the game.	Of course not!	0
Another common one I grew up with was the "Free Parking" rule addition, where landing on Free Parking confers some kind of monetary reward, which introduces more money into the game and makes it harder to go bankrupt, dragging out the game.	B, C, and D should be conspiring like hell to take A down.	0
Another common one I grew up with was the "Free Parking" rule addition, where landing on Free Parking confers some kind of monetary reward, which introduces more money into the game and makes it harder to go bankrupt, dragging out the game.	B can "not notice" when C and D land on his properties, making A the only one to pay rent.	0
Another common one I grew up with was the "Free Parking" rule addition, where landing on Free Parking confers some kind of monetary reward, which introduces more money into the game and makes it harder to go bankrupt, dragging out the game.	C and D can agree to help each other complete monopolies and make trades of that nature.	0
